consumer_name;city;region;state;store;purchase_id;purchase_date;product_category;product_name;brand;size;color;quantity;unit_price;total_amount;payment_method;loyalty_member;salesperson
Benjamin Mason;Phillipmouth;West;NV;Golf Galaxy;TX00001;24/2/2025;Polo;Ashworth Polo;Ashworth;S;Blue;1;117.07;117.07;Gift Card;Yes;William Henderson
Robin Johnson;South Edward;South;DC;Dick's Sporting Goods;TX00002;8/6/2025;Polo;Nike Polo;Nike;XS;Blue;1;88.18;88.18;Credit Card;Yes;Joseph Anderson
Morgan Martinez;Port Kevin;West;NM;Peter Millar;TX00003;15/12/2023;Cap;Puma Cap;Puma;L;Green;2;119.86;239.72;Debit Card;No;Diane Richardson DDS
Debra Brooks;East Garychester;South;TX;Roger Dunn Golf Shops;TX00004;28/1/2025;Shorts;Puma Shorts;Puma;M;Black;1;72.5;72.5;PayPal;No;Jeremy Wilson
Jennifer Harris;Hillburgh;West;CA;Roger Dunn Golf Shops;TX00005;16/4/2024;Polo;Original Penguin Polo;Original Penguin;XL;Black;2;34.86;69.72;PayPal;No;Judith Sandoval
Thomas Zimmerman;West Samanthaport;South;DE;Carl's Golfland;TX00006;25/4/2025;Pants;Nike Pants;Nike;XXL;Blue;2;148.16;296.32;Debit Card;Yes;Candace Brooks
Henry Davis;Morrisville;South;NC;Roger Dunn Golf Shops;TX00007;4/12/2023;Visor;Peter Millar Visor;Peter Millar;S;Red;2;51.2;102.4;PayPal;Yes;Victor Phillips
Rachel Young;Marissamouth;West;CA;Peter Millar;TX00008;2/9/2024;Shorts;Puma Shorts;Puma;S;Gray;2;58.75;117.5;Gift Card;Yes;Deborah Saunders
Amy Martinez;West Anthony;West;OR;2nd Swing Golf;TX00009;15/10/2023;Polo;Puma Polo;Puma;XS;Red;2;58.48;116.96;Debit Card;No;Pamela Barber
Charles Ramirez;Changtown;Midwest;MN;Peter Millar;TX00010;11/7/2025;Visor;Bad Birdie Visor;Bad Birdie;XXL;Gray;1;58.12;58.12;Debit Card;No;Daniel Salazar
Kenneth Harding;East Scottburgh;West;MT;Bad Birdie;TX00011;18/11/2023;Cap;Bad Birdie Cap;Bad Birdie;M;Blue;2;88.7;177.4;Credit Card;Yes;Allison Hernandez
