OrderID,OrderDate,CustomerID,CustomerName,State,ZipCode,ProductID,ProductName,Category,SKU,Quantity,UnitPrice,Discount,TotalPrice,PaymentMethod,SalesChannel,Supplier,ShippingCost
ORD000001,2024-06-07,C9966,Dana Miller,NE,69252,P006,Zapatos,Calzado,P006-7520,1,143.3,0.0,143.3,Credit Card,Online,EagleTrade Inc,6.79
ORD000002,2023-05-17,C6484,Alex Taylor,OK,11649,P005,Guante,Accesorios,P005-6433,3,18.78,0.0,56.34,PayPal,Online,Fairway Goods,3.13
ORD000003,2025-06-26,C2966,Avery Martinez,MI,78868,P010,Toalla,Accesorios,P010-4117,2,12.39,0.0,24.78,Credit Card,Online,Acme Golf Co,11.9
ORD000004,2025-09-11,C2739,Taylor Rodriguez,DE,83745,P006,Zapatos,Calzado,P006-4789,1,133.28,0.0,133.28,Apple Pay,Online,GreenLine Sports,7.82
ORD000005,2024-05-20,C1510,Alex Jones,DE,59935,P002,Pelotas,Accesorios,P002-5318,4,14.96,0.0,59.84,Credit Card,Online,Fairway Goods,5.95
ORD000006,2025-07-16,C1171,Alex Wilson,AK,48755,P009,Pantalones,Ropa,P009-7079,2,64.66,0.0,129.32,PayPal,Online,Acme Golf Co,5.19
ORD000007,2025-10-05,C4578,Sam Miller,WI,99878,P009,Pantalones,Ropa,P009-3419,2,58.7,0.0,117.4,Credit Card,Retail,Acme Golf Co,4.9
ORD000008,2025-10-11,C1967,Blake Lopez,CT,39533,P001,Gorra,Accesorios,P001-9835,1,23.91,0.0,23.91,Credit Card,Online,GreenLine Sports,6.08
ORD000009,2025-10-16,C4712,Lee Thomas,MN,63392,P005,Guante,Accesorios,P005-2202,1,17.26,0.0,17.26,PayPal,Retail,EagleTrade Inc,6.28
ORD000010,2025-01-09,C1262,Drew Johnson,NV,35370,P006,Zapatos,Calzado,P006-4880,1,130.94,0.0,130.94,PayPal,Retail,Fairway Goods,0.0
ORD000011,2023-06-29,C9152,Sam Johnson,NC,11636,P001,Gorra,Accesorios,P001-1561,1,26.26,0.0,26.26,PayPal,Online,EagleTrade Inc,2.4
ORD000012,2023-04-22,C5357,Jamie Martin,HI,60464,P001,Gorra,Accesorios,P001-9136,2,26.09,0.0,52.18,Credit Card,Online,GreenLine Sports,4.36
ORD000013,2023-11-04,C9202,Jamie Hernandez,NM,94473,P010,Toalla,Accesorios,P010-5680,1,12.24,0.0,12.24,Credit Card,Online,GreenLine Sports,12.77
ORD000014,2023-11-25,C5287,Casey Thomas,ND,30374,P002,Pelotas,Accesorios,P002-2921,2,15.58,0.0,31.16,Credit Card,Online,EagleTrade Inc,5.29
ORD000015,2024-02-04,C5370,Avery Anderson,IN,16646,P009,Pantalones,Ropa,P009-7835,1,60.54,0.0,60.54,Credit Card,Online,Acme Golf Co,5.64
ORD000016,2025-02-25,C4528,Sam Martin,SC,76664,P005,Guante,Accesorios,P005-9443,1,17.29,0.0,17.29,Apple Pay,Online,EagleTrade Inc,5.71
ORD000017,2023-08-23,C7506,Alex Johnson,WA,49540,P007,Bolsa de golf,Bolsas,P007-9468,1,194.95,0.0,194.95,PayPal,Online,Fairway Goods,13.62
ORD000018,2025-01-01,C8634,Taylor Hernandez,CT,24603,P005,Guante,Accesorios,P005-4564,1,15.01,0.0,15.01,Credit Card,Retail,EagleTrade Inc,9.99
ORD000019,2025-05-27,C8124,Alex Lopez,WV,31928,P015,Paraguas,Accesorios,P015-9408,1,32.16,0.0,32.16,Credit Card,Retail,GreenLine Sports,0.0
ORD000020,2024-11-08,C6823,Quinn Martinez,ME,36614,P003,Palo Driver,Palos,P003-8570,1,347.97,0.0,347.97,Credit Card,Online,EagleTrade Inc,1.6
ORD000021,2023-08-18,C2985,Dana Johnson,WV,72541,P013,Reloj GPS,Accesorios,P013-7253,1,219.95,0.0,219.95,Credit Card,Retail,EagleTrade Inc,0.0
ORD000022,2023-12-03,C4426,Jesse Wilson,WI,56938,P004,Palo Hierro,Palos,P004-7884,1,123.57,0.0,123.57,Credit Card,Retail,EagleTrade Inc,4.46
ORD000023,2023-03-11,C4900,Morgan Lopez,NC,15328,P005,Guante,Accesorios,P005-7277,4,16.59,0.83,65.53,Apple Pay,Online,ProGolf Supplies,5.53
ORD000024,2023-04-21,C1867,Dana Davis,MO,98245,P002,Pelotas,Accesorios,P002-3790,1,14.66,0.0,14.66,Credit Card,Online,EagleTrade Inc,6.78
ORD000025,2023-11-20,C5274,Morgan Brown,CT,89851,P014,Gafas de sol,Accesorios,P014-8560,1,86.9,0.0,86.9,Credit Card,Online,GreenLine Sports,9.93
ORD000026,2024-12-12,C9729,Sam Martinez,WA,32341,P011,Tee (pack),Accesorios,P011-1111,1,5.92,0.0,5.92,Credit Card,Online,ProGolf Supplies,8.58
ORD000027,2023-02-03,C6697,Alex Lopez,LA,72164,P002,Pelotas,Accesorios,P002-8348,2,14.92,0.0,29.84,PayPal,Online,ProGolf Supplies,5.6
ORD000028,2024-04-03,C9620,Jesse Lopez,MT,28091,P006,Zapatos,Calzado,P006-7304,1,135.54,13.55,121.99,Credit Card,Online,EagleTrade Inc,7.76
ORD000029,2025-05-19,C6400,Jordan Davis,FL,73066,P001,Gorra,Accesorios,P001-6782,2,26.29,0.0,52.58,Credit Card,Online,EagleTrade Inc,6.21
ORD000030,2024-04-11,C1559,Avery Taylor,VA,43353,P010,Toalla,Accesorios,P010-9869,3,12.12,0.0,36.36,Credit Card,Online,ProGolf Supplies,11.07
ORD000031,2024-01-13,C6780,Robin Hernandez,AL,26555,P010,Toalla,Accesorios,P010-5254,2,12.26,0.0,24.52,Credit Card,Retail,Fairway Goods,8.29
ORD000032,2023-02-12,C1597,Lee Anderson,DE,27134,P002,Pelotas,Accesorios,P002-4534,2,15.46,3.09,27.83,PayPal,Online,ProGolf Supplies,5.85
ORD000033,2024-02-12,C8157,Robin Martinez,HI,90634,P008,Camiseta,Ropa,P008-9914,1,41.08,0.0,41.08,Credit Card,Retail,ProGolf Supplies,0.0
ORD000034,2025-05-01,C2408,Chris Anderson,MO,48888,P001,Gorra,Accesorios,P001-9984,1,24.49,0.0,24.49,Gift Card,Online,Fairway Goods,9.62
ORD000035,2023-06-11,C7285,Morgan Miller,MA,93275,P001,Gorra,Accesorios,P001-1000,2,25.23,0.0,50.46,Credit Card,Retail,Fairway Goods,5.91
ORD000036,2023-12-20,C2320,Quinn Johnson,UT,46643,P005,Guante,Accesorios,P005-9201,2,17.05,0.0,34.1,Credit Card,Online,Acme Golf Co,4.93
ORD000037,2024-11-01,C1922,Taylor Gonzalez,DE,71869,P001,Gorra,Accesorios,P001-5951,1,24.38,0.0,24.38,Credit Card,Online,Fairway Goods,10.01
ORD000038,2024-07-13,C2772,Parker Thomas,NY,25390,P012,Carro de golf,Equipamiento,P012-4908,1,795.32,0.0,795.32,PayPal,Online,Acme Golf Co,3.17
ORD000039,2023-11-21,C6850,Quinn Thomas,GA,87177,P003,Palo Driver,Palos,P003-4859,1,345.59,0.0,345.59,Credit Card,Online,Fairway Goods,9.33
ORD000040,2025-07-06,C7192,Cameron Brown,TN,94297,P001,Gorra,Accesorios,P001-9951,1,25.58,0.0,25.58,Credit Card,Online,Fairway Goods,0.0
ORD000041,2023-12-16,C6369,Morgan Rodriguez,MN,60976,P002,Pelotas,Accesorios,P002-9986,2,14.14,0.0,28.28,Credit Card,Retail,Acme Golf Co,9.14
ORD000042,2025-08-06,C9143,Casey Taylor,WA,91059,P013,Reloj GPS,Accesorios,P013-5787,1,246.99,0.0,246.99,Credit Card,Online,ProGolf Supplies,9.66
ORD000043,2025-02-16,C5636,Jamie Miller,CT,39418,P001,Gorra,Accesorios,P001-7652,2,24.7,0.0,49.4,Credit Card,Retail,EagleTrade Inc,10.34
ORD000044,2024-08-31,C9359,Quinn Wilson,IA,51407,P015,Paraguas,Accesorios,P015-8709,1,34.73,0.0,34.73,Credit Card,Wholesale,Acme Golf Co,5.55
ORD000045,2025-03-12,C6083,Chris Rodriguez,WV,88479,P007,Bolsa de golf,Bolsas,P007-8576,1,181.79,0.0,181.79,Credit Card,Online,ProGolf Supplies,5.34
ORD000046,2025-10-04,C2500,Parker Jones,OH,19010,P001,Gorra,Accesorios,P001-5419,1,24.03,0.0,24.03,Credit Card,Retail,ProGolf Supplies,9.29
ORD000047,2023-03-30,C9332,Jesse Anderson,MI,52552,P005,Guante,Accesorios,P005-6781,3,16.51,3.3,46.23,Credit Card,Online,EagleTrade Inc,13.63
ORD000048,2023-06-26,C4093,Jesse Rodriguez,NE,61346,P002,Pelotas,Accesorios,P002-6623,1,14.53,0.0,14.53,Credit Card,Online,Fairway Goods,6.96
ORD000049,2025-07-21,C1953,Taylor Miller,VT,97394,P010,Toalla,Accesorios,P010-1343,1,12.25,0.0,12.25,Apple Pay,Retail,ProGolf Supplies,11.55
ORD000050,2025-07-31,C6925,Dana Martinez,MN,76837,P001,Gorra,Accesorios,P001-3782,1,22.45,0.0,22.45,Gift Card,Retail,Acme Golf Co,7.58
ORD000051,2023-02-10,C7851,Chris Garcia,TN,29711,P007,Bolsa de golf,Bolsas,P007-2543,1,175.01,0.0,175.01,Credit Card,Online,ProGolf Supplies,12.22
ORD000052,2023-06-13,C7669,Taylor Smith,NV,65697,P001,Gorra,Accesorios,P001-8120,1,23.82,0.0,23.82,Credit Card,Online,ProGolf Supplies,6.9
ORD000053,2024-02-22,C7076,Avery Rodriguez,AR,64201,P001,Gorra,Accesorios,P001-5926,3,25.87,0.0,77.61,Credit Card,Retail,EagleTrade Inc,8.79
